profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"baseline/cautious","first_extraction","3","3","1.0","115.733333333331","112.639999999998","117.599999999997","118.079999999997","117.599999999997"
"baseline/cautious","first_research","3","3","1.0","140.733333333331","137.639999999998","142.599999999997","143.079999999997","142.599999999997"
"baseline/cautious","passive_income","3","3","1.0","115.733333333331","112.639999999998","117.599999999997","118.079999999997","117.599999999997"
"baseline/cautious","fan","3","3","1.0","185.23333333333","142.719999999997","143.199999999997","244.559999999995","143.199999999997"
"baseline/cautious","well_2","3","3","1.0","314.833333333334","246.079999999994","250.799999999994","409.200000000009","250.799999999994"
"baseline/cautious","specialization","3","3","1.0","398.333333333341","359.240000000005","425.000000000013","426.760000000009","425.000000000013"
"baseline/cautious","three_surges","3","3","1.0","292.06666666668","117.719999999997","118.199999999997","535.960000000035","118.199999999997"
"baseline/cautious","well_3","3","3","1.0","708.333333333385","532.600000000031","796.600000000067","848.760000000067","796.600000000067"
"baseline/cautious","boss","3","3","1.0","744.333333333388","571.860000000034","830.500000000069","882.340000000069","830.500000000069"
"baseline/cautious","all_core_research","3","3","1.0","576.933333333365","512.560000000028","578.800000000031","640.560000000036","578.800000000031"
"baseline/balanced","first_extraction","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"baseline/balanced","first_research","3","3","1.0","146.43333333333","137.659999999997","152.699999999996","152.699999999996","152.699999999996"
"baseline/balanced","passive_income","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"baseline/balanced","fan","3","3","1.0","146.43333333333","137.659999999997","152.699999999996","152.699999999996","152.699999999996"
"baseline/balanced","well_2","3","3","1.0","343.700000000008","270.459999999995","274.699999999996","444.540000000026","274.699999999996"
"baseline/balanced","specialization","3","3","1.0","274.633333333328","256.719999999992","284.399999999995","288.639999999996","284.399999999995"
"baseline/balanced","three_surges","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"baseline/balanced","well_3","3","3","1.0","738.433333333412","474.440000000028","815.800000000091","971.480000000125","815.800000000091"
"baseline/balanced","boss","3","3","1.0","795.300000000084","520.560000000034","935.600000000112","1013.92000000012","935.600000000112"
"baseline/balanced","all_core_research","3","3","1.0","385.66666666668","370.480000000013","386.400000000015","400.560000000013","386.400000000015"
"baseline/risk_seeking","first_extraction","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
"baseline/risk_seeking","first_research","3","3","1.0","310.566666666673","221.279999999995","315.600000000001","397.840000000018","315.600000000001"
"baseline/risk_seeking","passive_income","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
"baseline/risk_seeking","fan","3","3","1.0","310.566666666673","221.279999999995","315.600000000001","397.840000000018","315.600000000001"
"baseline/risk_seeking","well_2","3","3","1.0","498.433333333373","372.980000000016","454.500000000028","641.460000000067","454.500000000028"
"baseline/risk_seeking","specialization","3","3","1.0","310.566666666673","221.279999999995","315.600000000001","397.840000000018","315.600000000001"
"baseline/risk_seeking","three_surges","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
"baseline/risk_seeking","well_3","3","3","1.0","818.766666666768","706.560000000076","840.400000000105","922.320000000126","840.400000000105"
"baseline/risk_seeking","boss","3","3","1.0","869.266666666777","801.640000000094","859.800000000107","940.680000000128","859.800000000107"
"baseline/risk_seeking","all_core_research","3","3","1.0","459.766666666697","382.980000000016","464.500000000028","534.660000000046","464.500000000028"
"longer_scaled_encounters/cautious","first_extraction","3","3","1.0","5405.03333333372","133.559999999997","134.999999999997","12784.5200000009","134.999999999997"
"longer_scaled_encounters/cautious","first_research","3","3","1.0","5430.03333333372","158.559999999997","159.999999999997","12809.5200000009","159.999999999997"
"longer_scaled_encounters/cautious","passive_income","3","3","1.0","5405.03333333372","133.559999999997","134.999999999997","12784.5200000009","134.999999999997"
"longer_scaled_encounters/cautious","fan","3","3","1.0","5467.03333333379","158.559999999997","159.999999999997","12898.3200000011","159.999999999997"
"longer_scaled_encounters/cautious","well_2","2","3","0.66666666666667","933.55000000009","912.150000000085","933.55000000009","954.950000000095","933.55000000009"
"longer_scaled_encounters/cautious","specialization","3","3","1.0","10572.3666666673","498.940000000025","539.100000000035","24659.1000000014","539.100000000035"
