profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"cautious","first_extraction","100","100","1.0","101.66","80.0","100.25","119.5","100.25"
"cautious","first_research","100","100","1.0","126.66","105.0","125.25","144.5","125.25"
"cautious","passive_income","100","100","1.0","101.66","80.0","100.25","119.5","100.25"
"cautious","fan","100","100","1.0","205.485","143.95","208.75","271.65","208.75"
"cautious","well_2","100","100","1.0","347.055","228.9","315.0","511.4","315.0"
"cautious","specialization","100","100","1.0","418.99","340.8","424.75","483.4","424.75"
"cautious","three_surges","90","100","0.9","287.822222222222","118.5","250.5","553.9","250.5"
"cautious","well_3","100","100","1.0","871.375","393.9","540.75","834.05","540.75"
"cautious","boss","100","100","1.0","1811.145","467.95","652.25","899.65","652.25"
"cautious","all_core_research","100","100","1.0","576.55","488.1","577.25","667.05","577.25"
"balanced","first_extraction","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"balanced","first_research","100","100","1.0","135.925","112.5","133.25","152.55","133.25"
"balanced","passive_income","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"balanced","fan","100","100","1.0","135.925","112.5","133.25","152.55","133.25"
"balanced","well_2","100","100","1.0","352.47","238.4","351.0","489.95","351.0"
"balanced","specialization","100","100","1.0","282.19","230.95","272.75","349.5","272.75"
"balanced","three_surges","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"balanced","well_3","100","100","1.0","597.885","404.85","568.75","826.45","568.75"
"balanced","boss","100","100","1.0","659.145","457.3","628.25","938.15","628.25"
"balanced","all_core_research","100","100","1.0","384.61","311.7","386.0","444.25","386.0"
"risk_seeking","first_extraction","100","100","1.0","247.295","147.5","167.5","460.95","167.5"
"risk_seeking","first_research","100","100","1.0","257.295","157.5","177.5","470.95","177.5"
"risk_seeking","passive_income","100","100","1.0","247.295","147.5","167.5","460.95","167.5"
"risk_seeking","fan","100","100","1.0","257.295","157.5","177.5","470.95","177.5"
"risk_seeking","well_2","100","100","1.0","498.025","315.5","454.75","776.25","454.75"
"risk_seeking","specialization","100","100","1.0","257.295","157.5","177.5","470.95","177.5"
"risk_seeking","three_surges","100","100","1.0","247.295","147.5","167.5","460.95","167.5"
"risk_seeking","well_3","100","100","1.0","722.075","467.7","690.0","1066.5","690.0"
"risk_seeking","boss","100","100","1.0","764.08","488.5","727.25","1104.85","727.25"
"risk_seeking","all_core_research","100","100","1.0","415.8","307.9","344.75","603.2","344.75"
