profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"target_1","first_extraction","100","100","1.0","66.715","57.5","59.0","79.0","59.0"
"target_1","first_research","100","100","1.0","81.715","72.5","74.0","94.0","74.0"
"target_1","passive_income","100","100","1.0","66.715","57.5","59.0","79.0","59.0"
"target_1","fan","100","100","1.0","167.015","149.5","170.25","192.1","170.25"
"target_1","well_2","100","100","1.0","205.305","135.5","192.5","286.3","192.5"
"target_1","specialization","100","100","1.0","352.44","308.4","345.5","401.15","345.5"
"target_1","three_surges","0","100","0.0","","","","",""
"target_1","well_3","100","100","1.0","337.6","252.85","329.25","437.6","329.25"
"target_1","boss","100","100","1.0","376.51","286.1","371.75","470.45","371.75"
"target_1","all_core_research","100","100","1.0","487.51","428.5","484.0","553.05","484.0"
"target_2","first_extraction","100","100","1.0","82.515","57.5","79.0","99.0","79.0"
"target_2","first_research","100","100","1.0","97.515","72.5","94.0","114.0","94.0"
"target_2","passive_income","100","100","1.0","82.515","57.5","79.0","99.0","79.0"
"target_2","fan","100","100","1.0","148.035","112.5","149.5","190.65","149.5"
"target_2","well_2","100","100","1.0","239.68","156.85","229.0","331.9","229.0"
"target_2","specialization","100","100","1.0","324.44","276.9","325.75","376.8","325.75"
"target_2","three_surges","97","100","0.97","188.092783505155","97.5","154.5","396.5","154.5"
"target_2","well_3","100","100","1.0","408.04","288.6","397.75","540.2","397.75"
"target_2","boss","100","100","1.0","464.915","318.2","460.5","604.0","460.5"
"target_2","all_core_research","100","100","1.0","451.43","403.3","443.75","520.05","443.75"
"target_3","first_extraction","100","100","1.0","102.3","77.5","99.0","118.5","99.0"
"target_3","first_research","100","100","1.0","117.3","92.5","114.0","133.5","114.0"
"target_3","passive_income","100","100","1.0","102.3","77.5","99.0","118.5","99.0"
"target_3","fan","100","100","1.0","139.505","112.5","132.5","192.5","132.5"
"target_3","well_2","100","100","1.0","292.665","197.5","274.75","425.3","274.75"
"target_3","specialization","100","100","1.0","295.445","249.5","290.75","350.45","290.75"
"target_3","three_surges","100","100","1.0","131.375","97.5","117.5","199.85","117.5"
"target_3","well_3","100","100","1.0","481.38","343.45","453.5","643.6","453.5"
"target_3","boss","100","100","1.0","542.225","378.35","514.5","761.55","514.5"
"target_3","all_core_research","100","100","1.0","401.815","331.35","406.5","461.15","406.5"
"target_4","first_extraction","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"target_4","first_research","100","100","1.0","135.925","112.5","133.25","152.55","133.25"
"target_4","passive_income","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"target_4","fan","100","100","1.0","135.925","112.5","133.25","152.55","133.25"
"target_4","well_2","100","100","1.0","352.47","238.4","351.0","489.95","351.0"
"target_4","specialization","100","100","1.0","282.19","230.95","272.75","349.5","272.75"
"target_4","three_surges","100","100","1.0","120.925","97.5","118.25","137.55","118.25"
"target_4","well_3","100","100","1.0","597.885","404.85","568.75","826.45","568.75"
"target_4","boss","100","100","1.0","659.145","457.3","628.25","938.15","628.25"
"target_4","all_core_research","100","100","1.0","384.61","311.7","386.0","444.25","386.0"
"target_6","first_extraction","100","100","1.0","157.95","128.6","157.5","175.5","157.5"
"target_6","first_research","100","100","1.0","172.95","143.6","172.5","190.5","172.5"
"target_6","passive_income","100","100","1.0","157.95","128.6","157.5","175.5","157.5"
"target_6","fan","100","100","1.0","172.95","143.6","172.5","190.5","172.5"
"target_6","well_2","100","100","1.0","468.875","314.0","444.75","720.65","444.75"
"target_6","specialization","100","100","1.0","313.01","192.5","329.0","371.0","329.0"
"target_6","three_surges","100","100","1.0","157.95","128.6","157.5","175.5","157.5"
"target_6","well_3","100","100","1.0","799.305","511.8","725.5","1121.55","725.5"
"target_6","boss","100","100","1.0","880.075","565.8","805.0","1240.8","805.0"
"target_6","all_core_research","100","100","1.0","377.62","321.85","349.0","470.35","349.0"
"target_8","first_extraction","100","100","1.0","175.325","128.6","168.0","193.350000000001","168.0"
"target_8","first_research","100","100","1.0","190.325","143.6","183.0","208.350000000001","183.0"
"target_8","passive_income","100","100","1.0","175.325","128.6","168.0","193.350000000001","168.0"
"target_8","fan","100","100","1.0","190.325","143.6","183.0","208.350000000001","183.0"
"target_8","well_2","100","100","1.0","566.575","367.5","539.75","874.4","539.75"
"target_8","specialization","100","100","1.0","307.38","189.45","340.5","401.05","340.5"
"target_8","three_surges","100","100","1.0","175.325","128.6","168.0","193.350000000001","168.0"
"target_8","well_3","100","100","1.0","992.595","606.2","956.0","1347.85","956.0"
"target_8","boss","100","100","1.0","1272.165","670.85","994.25","1485.7","994.25"
"target_8","all_core_research","100","100","1.0","398.9","340.9","387.0","486.85","387.0"
